file,psnr,ssim,method
000001.png,22.925380019815552,0.75434303,wiener
000001.png,29.133123280331468,0.94020176,unsharp_mask
000002.png,22.908910254398545,0.71000814,wiener
000002.png,27.270787786519218,0.8797787,unsharp_mask
000003.png,21.527319715457438,0.76827574,wiener
000003.png,29.68924086324913,0.9499626,unsharp_mask
000004.png,19.512289588015847,0.46632457,wiener
000004.png,27.445106857669078,0.9258315,unsharp_mask
000005.png,24.646066407067554,0.7324064,wiener
000005.png,30.227186643323787,0.91548616,unsharp_mask
000007.png,20.63035115131873,0.6994538,wiener
000007.png,27.421910937849834,0.9340715,unsharp_mask
000008.png,21.68714820999858,0.64605725,wiener
000008.png,24.76091921258184,0.78676224,unsharp_mask
000009.png,22.637937569736177,0.58652544,wiener
000009.png,24.016369730482175,0.6812534,unsharp_mask
000010.png,19.01563425497155,0.56787366,wiener
000010.png,20.921430965732757,0.6593239,unsharp_mask
000011.png,19.232476760225833,0.5749313,wiener
000011.png,21.373556835747852,0.67426723,unsharp_mask
000012.png,19.59353038791679,0.5879919,wiener
000012.png,22.72600677222611,0.74308604,unsharp_mask
000013.png,19.974725123409,0.61704654,wiener
000013.png,22.475674881620208,0.7200904,unsharp_mask
000014.png,20.8226798582634,0.6826841,wiener
000014.png,24.65953294790056,0.8214667,unsharp_mask
000016.png,24.221201104138373,0.6713257,wiener
000016.png,28.807735198123616,0.8772214,unsharp_mask
000017.png,23.807133591545515,0.6575754,wiener
000017.png,26.81201197909974,0.8200162,unsharp_mask
000018.png,22.62974087376484,0.54476565,wiener
000018.png,24.901753613652996,0.6811149,unsharp_mask
000020.png,25.796380067293562,0.77250695,wiener
000020.png,30.028721175593862,0.9259944,unsharp_mask
000021.png,20.563050471941715,0.6388547,wiener
000021.png,23.35032798360355,0.77014345,unsharp_mask
000022.png,19.65900690522185,0.60443455,wiener
000022.png,22.64922450004741,0.75087076,unsharp_mask
000023.png,19.67176157002206,0.55588627,wiener
000023.png,21.58945218379929,0.65615726,unsharp_mask
000024.png,19.27442352764988,0.48320508,wiener
000024.png,27.72679109807885,0.9341901,unsharp_mask
000025.png,19.289678238116743,0.4859313,wiener
000025.png,27.24575586839905,0.93046784,unsharp_mask
000026.png,25.294116784678135,0.709501,wiener
000026.png,30.849645439699316,0.9368238,unsharp_mask
000028.png,20.378089481258172,0.6626332,wiener
000028.png,24.312390685777217,0.8274625,unsharp_mask
000031.png,19.215827118392088,0.48244378,wiener
000031.png,27.12515244350469,0.92823046,unsharp_mask
000032.png,26.759405073393722,0.78960705,wiener
000032.png,31.015850423574086,0.948478,unsharp_mask
000033.png,22.282438823744613,0.49887726,wiener
000033.png,24.072585157500935,0.62396836,unsharp_mask
000034.png,26.806723522828833,0.7885957,wiener
000034.png,31.40018309903865,0.950989,unsharp_mask
000035.png,23.374913905460467,0.7776417,wiener
000035.png,28.656370966322662,0.9325021,unsharp_mask
000036.png,23.886270307148504,0.6292979,wiener
000036.png,27.258495964074964,0.8190035,unsharp_mask
000038.png,19.298888417111137,0.482679,wiener
000038.png,26.98915759320578,0.9279553,unsharp_mask
000039.png,21.80882528942358,0.6009629,wiener
000039.png,23.944930741149,0.7090737,unsharp_mask
000040.png,26.869316929519307,0.7959706,wiener
000040.png,30.502411249590384,0.9423354,unsharp_mask
000041.png,22.879493844691773,0.64965856,wiener
000041.png,25.644902353227643,0.77966124,unsharp_mask
000042.png,27.016858876843166,0.80214363,wiener
000042.png,29.39879775796203,0.93464327,unsharp_mask
000044.png,19.340274798176328,0.49759272,wiener
000044.png,26.63674226026565,0.9225316,unsharp_mask
000046.png,26.622883773191035,0.796585,wiener
000046.png,29.98109645674503,0.9420893,unsharp_mask
000047.png,22.8329287697589,0.6933656,wiener
000047.png,25.73743208258832,0.81812143,unsharp_mask
000048.png,23.52711995414871,0.7139063,wiener
000048.png,27.402430961726537,0.86258096,unsharp_mask
000050.png,26.64025470546257,0.7987709,wiener
000050.png,29.360305478883117,0.9353909,unsharp_mask
000051.png,21.990285890723968,0.6634907,wiener
000051.png,27.9845932597593,0.87638813,unsharp_mask
000054.png,22.728395559433157,0.63865346,wiener
000054.png,24.936038800177343,0.7499077,unsharp_mask
000055.png,19.308247562608546,0.48528203,wiener
000055.png,26.1667497939195,0.91562015,unsharp_mask
000056.png,19.412557498374795,0.4807349,wiener
000056.png,20.62603998856643,0.5385843,unsharp_mask
